ln(kobs),Ar1_NBO_C2,Ar1_NBO_=O,Ar1_NBO_-O,Ar1_v_C=O,Ar1_I_C=O,Ar1_Ster_L,Ar1_Ster_B1,Ar1_Ster_B5,Ar1_dp,Ar1_polar,Ar1_LUMO,Ar1_HOMO,Ar2_NBO_C2,Ar2_NBO_=O,Ar2_NBO_-O,Ar2_v_C=O,Ar2_I_C=O,Ar2_Ster_L,Ar2_Ster_B1,Ar2_Ster_B5,Ar2_dp,Ar2_polar,Ar2_LUMO,Ar2_HOMO
-0.339256108,-0.216,-0.611,-0.705,1839.28,444.9562,8.54,1.83,3.23,3.638326,108.240333,-0.01555,-0.29463,-0.216,-0.611,-0.705,1839.28,444.9562,8.54,1.83,3.23,3.638326,108.240333,-0.01555,-0.29463
-1.50237884,-0.181,-0.603,-0.701,1848.02,391.1199,6.39,1.70,3.22,2.075965,87.513000,-0.02742,-0.32424,-0.181,-0.603,-0.701,1848.02,391.1199,6.39,1.70,3.22,2.075965,87.513000,-0.02742,-0.32424
-2.428148316,-0.2,-0.603,-0.702,1847.96,399.485,6.99,1.70,3.22,1.401426,87.804000,-0.02792,-0.32452,-0.2,-0.603,-0.702,1847.96,399.485,6.99,1.70,3.22,1.401426,87.804000,-0.02792,-0.32452
-4.755993076,-0.159,-0.593,-0.698,1854.75,375.6943,7.75,2.17,3.22,2.001325,101.249000,-0.04827,-0.34295,-0.159,-0.593,-0.698,1854.75,375.6943,7.75,2.17,3.22,2.001325,101.249000,-0.04827,-0.34295
-5.599422459,-0.153,-0.598,-0.697,1855.51,393.2485,8.22,1.70,3.22,3.576998,106.042333,-0.06346,-0.34281,-0.153,-0.598,-0.697,1855.51,393.2485,8.22,1.70,3.22,3.576998,106.042333,-0.06346,-0.34281
-6.377127028,-0.148,-0.588,-0.696,1857.25,370.5649,7.72,1.70,3.23,3.630021,105.602667,-0.08032,-0.35252,-0.148,-0.588,-0.696,1857.25,370.5649,7.72,1.70,3.23,3.630021,105.602667,-0.08032,-0.35252
-2.893175685,-0.159,-0.593,-0.698,1854.75,375.6943,7.75,2.17,3.22,2.001325,101.249000,-0.04827,-0.34295,-0.216,-0.611,-0.705,1839.28,444.9562,8.54,1.83,3.23,3.638326,108.240333,-0.01555,-0.29463
-3.304978524,-0.159,-0.593,-0.698,1854.75,375.6943,7.75,2.17,3.22,2.001325,101.249000,-0.04827,-0.34295,-0.2,-0.603,-0.702,1847.96,399.485,6.99,1.70,3.22,1.401426,87.804000,-0.02792,-0.32452
-2.112791521,-0.156,-0.601,-0.704,1848.11,387.6622,7.24,1.82,4.69,2.558163,106.115667,-0.02669,-0.29193,-0.156,-0.601,-0.704,1848.11,387.6622,7.24,1.82,4.69,2.558163,106.115667,-0.02669,-0.29193
-3.568433301,-0.176,-0.598,-0.694,1851.56,357.6061,6.92,1.70,4.37,2.317463,103.719667,-0.05033,-0.33791,-0.176,-0.598,-0.694,1851.56,357.6061,6.92,1.70,4.37,2.317463,103.719667,-0.05033,-0.33791
-5.051457289,-0.17,-0.595,-0.697,1853.55,388.5588,6.56,1.95,5.03,1.067852,100.652000,-0.04289,-0.34485,-0.17,-0.595,-0.697,1853.55,388.5588,6.56,1.95,5.03,1.067852,100.652000,-0.04289,-0.34485
-5.298317367,-0.171,-0.592,-0.697,1856.37,395.7176,6.39,1.70,4.86,2.747600,104.517333,-0.05282,-0.34098,-0.171,-0.592,-0.697,1856.37,395.7176,6.39,1.70,4.86,2.747600,104.517333,-0.05282,-0.34098
-6.502290171,-0.168,-0.592,-0.694,1856.08,387.8464,6.98,1.70,4.98,2.711712,104.693667,-0.07008,-0.35489,-0.168,-0.592,-0.694,1856.08,387.8464,6.98,1.70,4.98,2.711712,104.693667,-0.07008,-0.35489
